temp,atemp,hum,season,weathersit,hr,cnt
0.26,0.2727,0.7,4,1,6,17
0.54,0.5152,0.77,3,1,2,9
0.3,0.2879,0.81,4,2,5,31
0.54,0.5152,0.52,2,1,9,346
0.32,0.303,0.39,1,1,14,144
0.46,0.4545,0.59,4,1,0,30
0.74,0.6667,0.51,2,1,16,299
0.2,0.1818,0.69,1,2,11,62
0.26,0.2424,0.79,1,1,17,118
0.24,0.2879,0.7,1,2,6,98
0.32,0.3333,0.76,4,1,0,122
0.24,0.2576,0.87,1,3,14,46
0.42,0.4242,0.88,2,3,1,5
0.62,0.5606,0.88,2,2,6,15
0.48,0.4697,0.55,2,2,14,561
0.66,0.6212,0.65,2,1,10,432
0.3,0.2727,0.64,1,2,5,8
0.34,0.3333,0.61,1,1,15,91
0.58,0.5455,1.0,3,1,3,37
0.26,0.2424,0.87,2,2,8,206
0.08,0.1667,0.73,1,1,7,74
0.2,0.1818,0.4,1,1,17,162
0.32,0.3333,0.66,1,1,5,12
0.36,0.3485,0.87,2,2,3,16
0.4,0.4091,0.37,4,1,13,355
0.4,0.4091,0.87,1,1,4,2
0.64,0.5758,0.89,3,3,21,90
0.78,0.7424,0.62,3,1,11,349
0.72,0.6667,0.54,3,1,3,5
0.46,0.4545,0.94,4,2,0,31
0.32,0.3485,0.81,4,2,23,126
0.6,0.6212,0.53,4,1,12,668
0.76,0.7121,0.58,3,1,21,303
0.76,0.6818,0.48,2,2,16,378
0.78,0.7424,0.59,2,1,23,123
0.74,0.6667,0.45,2,1,16,354
0.46,0.4545,0.94,4,2,8,391
0.28,0.2727,0.48,1,1,17,212
0.82,0.7727,0.52,3,1,21,213
0.26,0.2576,0.7,4,1,8,101
0.84,0.7273,0.3,2,1,14,500
0.4,0.4091,0.5,1,1,7,13
0.54,0.5152,0.65,2,2,15,127
0.66,0.6212,0.5,3,1,20,298
0.72,0.6818,0.7,2,1,13,418
0.32,0.303,0.33,1,1,23,86
0.7,0.6667,0.74,3,2,9,327
0.24,0.2424,0.7,4,1,3,9
0.62,0.5909,0.78,2,1,21,261
0.4,0.4091,0.37,4,1,14,134
0.64,0.5758,0.83,3,1,7,62
0.3,0.2727,0.75,4,2,16,257
0.72,0.6667,0.61,3,1,7,335
0.22,0.2576,0.6,1,1,7,22
0.56,0.5303,0.6,4,2,15,711
0.48,0.4697,0.94,2,2,6,149
0.26,0.2273,0.6,4,1,5,2
0.56,0.5303,0.88,4,2,16,55
0.74,0.6515,0.37,3,1,18,554
0.4,0.4091,0.71,1,2,16,224
0.62,0.5758,0.83,2,2,2,23
0.3,0.303,0.81,4,2,5,24
0.3,0.303,0.36,4,1,11,140
0.28,0.3182,0.87,4,1,5,10
0.72,0.697,0.79,3,2,16,566
0.2,0.2576,0.64,4,1,7,362
0.8,0.7576,0.55,3,2,8,661
0.48,0.4697,0.48,2,2,1,23
0.62,0.5909,0.73,3,1,2,4
0.46,0.4545,0.38,4,1,13,424
0.34,0.3333,0.23,2,1,16,248
0.36,0.3788,0.87,4,1,0,88
0.8,0.7424,0.52,3,1,10,124
0.3,0.303,0.7,1,2,9,202
0.32,0.303,0.36,1,2,17,83
0.44,0.4394,0.67,4,2,19,219
0.34,0.3636,0.71,4,1,20,52
0.26,0.2273,0.44,1,2,18,361
0.64,0.6212,0.61,3,1,8,107
0.7,0.6667,0.84,3,1,23,136
0.62,0.5152,1.0,3,3,7,108
0.4,0.4091,0.82,4,2,22,89
0.66,0.6061,0.83,2,3,11,65
0.34,0.2879,0.53,1,1,21,135
0.56,0.5303,0.64,2,2,4,6
0.64,0.5909,0.78,4,1,13,460
0.56,0.5303,0.6,3,1,13,376
0.04,0.0303,0.41,1,1,9,40
0.62,0.5455,0.94,3,3,1,4
0.4,0.4091,0.54,4,2,15,214
0.4,0.4091,0.82,4,2,19,250
0.86,0.7879,0.41,3,1,14,225
0.54,0.5152,0.6,4,2,13,369
0.46,0.4545,0.28,2,1,21,238
0.8,0.7424,0.49,3,1,13,472
0.64,0.6061,0.65,3,1,7,39
0.72,0.6515,0.45,3,1,18,808
0.68,0.6364,0.47,2,1,19,301
0.64,0.5758,0.89,3,3,1,73
0.44,0.4394,0.18,1,1,12,119
0.74,0.6818,0.55,3,1,22,178
0.72,0.7121,0.84,3,2,4,4
0.68,0.6364,0.65,3,1,23,138
0.74,0.6818,0.58,3,1,23,192
0.3,0.2879,0.39,1,1,14,118
0.84,0.803,0.53,3,1,12,186
0.34,0.3485,0.53,4,1,9,351
0.3,0.2879,0.49,4,1,10,230
0.36,0.3333,0.53,1,1,13,107
0.64,0.6061,0.65,2,1,16,367
0.72,0.6515,0.32,2,1,15,281
0.42,0.4242,0.67,2,1,0,96
0.86,0.7727,0.39,3,1,15,164
0.22,0.1818,0.47,1,2,18,108
0.56,0.5303,0.37,4,1,13,198
0.2,0.1818,0.64,1,1,5,2
0.72,0.6818,0.7,3,1,23,177
0.6,0.6212,0.35,2,1,13,436
0.6,0.5758,0.78,2,2,9,164
0.5,0.4848,0.36,2,1,11,239
0.32,0.3333,0.93,4,1,1,11
0.54,0.5152,0.83,3,1,5,41
0.4,0.4091,0.43,4,1,13,345
0.66,0.6061,0.83,3,1,6,190
0.36,0.3485,0.87,4,2,8,88
0.26,0.2273,0.81,4,1,1,7
0.76,0.6818,0.45,3,2,15,280
0.82,0.8333,0.63,3,1,11,269
0.62,0.5606,0.88,3,2,5,15
0.28,0.2273,0.55,1,3,18,375
0.64,0.5909,0.78,2,3,7,314
0.38,0.3939,0.83,4,1,7,362
0.56,0.5303,0.88,2,1,5,25
0.42,0.4242,0.58,4,2,9,222
0.64,0.6212,0.27,2,2,16,582
0.14,0.1667,0.28,1,1,19,112
0.56,0.5303,0.35,2,1,22,234
0.28,0.2879,0.81,4,1,2,10
0.38,0.3939,0.94,4,1,4,3
0.4,0.4091,0.76,4,3,15,101
0.3,0.2727,0.65,2,1,7,306
0.44,0.4394,0.24,2,1,5,32
0.34,0.3636,0.81,4,1,0,26
0.46,0.4545,0.94,2,3,5,5
0.86,0.7576,0.36,3,1,16,254
0.54,0.5152,0.49,2,1,12,264
0.44,0.4394,1.0,4,3,13,220
0.34,0.3485,1.0,1,2,0,6
0.3,0.2879,0.52,1,2,21,53
0.42,0.4242,0.58,2,2,6,126
0.56,0.5303,0.64,4,3,18,613
0.38,0.3939,0.76,2,1,1,10
0.78,0.7273,0.55,3,1,11,218
0.12,0.1515,0.54,1,1,4,1
0.6,0.5758,0.78,3,1,0,51
0.4,0.4091,0.76,4,1,4,4
0.34,0.3182,0.25,1,1,18,405
0.4,0.4091,0.66,4,1,22,177
0.42,0.4242,0.41,2,2,10,157
0.5,0.4848,0.42,4,2,15,310
0.3,0.2879,0.52,4,2,21,202
0.36,0.3333,0.46,1,1,16,171
0.7,0.6364,0.39,2,1,15,617
0.42,0.4242,1.0,1,2,10,31
0.66,0.6212,0.57,3,1,20,289
0.46,0.4545,0.94,1,3,1,12
0.32,0.3182,0.7,4,1,0,50
0.7,0.6667,0.74,3,2,22,223
0.4,0.4091,0.58,4,2,18,584
0.76,0.697,0.55,3,1,19,347
0.24,0.2576,0.7,1,1,5,1
0.3,0.3333,0.81,4,1,3,20
0.9,0.8333,0.39,2,1,16,249
0.24,0.2273,0.93,2,2,3,4
0.44,0.4394,0.82,4,2,9,195
0.38,0.3939,0.25,1,2,13,98
0.42,0.4242,0.88,4,1,3,5
0.72,0.6818,0.7,3,1,8,668
0.66,0.6212,0.69,3,2,23,157
0.7,0.6667,0.84,3,1,21,194
0.42,0.4242,0.41,1,1,18,241
0.24,0.2879,0.93,1,2,22,12
0.62,0.5455,0.94,3,1,23,148
0.34,0.303,0.87,1,2,21,83
0.34,0.303,0.36,2,1,0,30
0.26,0.2273,0.48,4,1,4,8
0.14,0.1515,0.86,4,1,7,235
0.36,0.3636,0.5,1,2,21,109
0.22,0.2121,0.37,1,1,20,165
0.68,0.6364,0.69,3,1,3,5
0.68,0.6364,0.79,3,1,5,14
0.38,0.3939,0.37,1,1,23,86
0.58,0.5455,0.88,2,2,7,246
0.42,0.4242,0.82,4,1,5,27
0.22,0.2273,0.55,1,1,9,275
0.36,0.3485,0.43,1,1,17,183
0.62,0.5909,0.78,2,2,9,297
0.22,0.2424,0.8,1,1,7,4
0.34,0.3485,0.81,1,2,11,119
0.24,0.2121,0.32,1,1,18,355
0.42,0.4242,0.71,4,1,18,479
0.5,0.4848,0.59,2,2,0,100
0.76,0.6667,0.31,2,1,14,254
0.34,0.303,0.49,4,2,14,110
0.54,0.5152,0.6,4,1,1,101
0.5,0.4848,0.59,4,2,4,5
0.38,0.3939,0.0,1,3,7,37
0.46,0.4545,0.59,1,3,18,106
0.58,0.5455,0.4,2,1,9,230
0.64,0.5909,0.78,3,1,5,16
0.32,0.3485,0.53,1,1,23,19
0.64,0.6212,0.57,3,1,21,261
0.72,0.6667,0.54,2,1,19,407
0.52,0.5,0.34,2,1,14,361
0.64,0.6061,0.73,2,1,3,36
0.3,0.3182,0.87,4,1,5,18
0.54,0.5152,0.41,4,1,15,346
0.74,0.697,0.66,3,2,12,152
0.34,0.3182,0.76,2,2,3,3
0.66,0.6212,0.61,2,2,15,331
0.32,0.303,0.81,2,1,5,2
0.38,0.3939,0.34,1,2,14,79
0.58,0.5455,0.94,2,2,6,112
0.4,0.4091,0.87,4,2,13,547
0.8,0.7424,0.49,3,1,21,205
0.48,0.4697,0.88,2,2,1,11
0.54,0.5152,0.88,3,2,6,114
0.7,0.6515,0.61,2,2,15,257
0.38,0.3939,0.4,4,1,17,334
0.76,0.697,0.55,3,2,5,24
0.62,0.6212,0.41,1,2,16,342
0.32,0.3485,0.76,1,1,23,99
0.26,0.2576,0.48,1,1,22,35
0.52,0.5,0.68,4,1,17,614
0.18,0.2424,0.55,4,1,7,31
0.54,0.5152,0.6,3,1,9,362
0.76,0.6667,0.35,3,1,12,243
0.16,0.2273,0.69,1,2,22,36
0.24,0.2424,0.52,1,1,1,61
0.3,0.2727,0.82,2,3,17,232
0.66,0.6061,0.83,2,2,8,489
0.7,0.6667,0.74,4,2,13,187
0.9,0.8636,0.45,3,1,17,738
0.38,0.3939,0.46,4,1,15,159
0.66,0.6212,0.61,3,1,7,281
0.78,0.697,0.46,3,1,20,332
0.48,0.4697,0.82,4,1,0,31
0.68,0.6364,0.39,3,1,13,729
0.28,0.2879,0.81,4,1,5,12
0.18,0.1818,0.55,2,1,6,10
0.34,0.303,0.61,4,1,22,62
0.68,0.6364,0.79,3,1,0,159
0.56,0.5303,0.43,2,2,11,125
0.8,0.697,0.29,3,1,18,588
0.18,0.197,0.74,1,1,8,228
0.62,0.6212,0.53,2,1,9,382
0.76,0.6818,0.45,3,1,12,294
0.52,0.5,0.68,2,1,7,90
0.84,0.7576,0.41,2,1,11,134
0.62,0.6212,0.5,3,2,8,504
0.24,0.2424,0.65,1,2,1,5
0.54,0.5152,0.88,2,1,7,274
0.54,0.5152,0.77,4,1,9,219
0.2,0.2121,0.4,1,1,16,74
0.48,0.4697,0.41,4,1,15,447
0.28,0.2879,0.81,1,3,1,45
0.8,0.7727,0.59,3,1,16,337
0.54,0.5152,0.28,4,2,16,319
0.7,0.6667,0.79,3,1,22,225
0.64,0.5909,0.78,3,2,5,49
0.74,0.6818,0.58,3,1,6,121
0.64,0.6061,0.69,2,1,1,26
0.44,0.4394,0.72,2,2,15,81
0.7,0.6515,0.61,2,2,15,256
0.76,0.6818,0.4,3,1,11,245
0.26,0.2273,0.38,4,1,18,145
0.34,0.3182,0.46,1,1,20,129
0.62,0.6212,0.43,2,1,11,226
0.62,0.5758,0.83,3,1,23,136
0.28,0.2576,0.38,1,1,15,138
0.24,0.2273,0.7,4,1,7,78
0.48,0.4697,0.63,4,1,2,92
0.7,0.6515,0.54,3,2,12,409
0.46,0.4545,0.94,2,1,1,4
0.58,0.5455,0.46,2,1,11,536
0.46,0.4545,0.63,4,1,21,195
0.3,0.3182,0.81,4,1,1,76
0.34,0.3485,0.66,4,1,22,113
0.7,0.6667,0.84,3,1,2,14
0.66,0.6061,0.78,3,1,6,181
0.86,0.7273,0.25,3,1,14,254
0.32,0.303,0.81,4,3,9,110
0.84,0.7424,0.36,2,1,16,508
0.2,0.2576,0.8,4,1,1,4
0.3,0.2879,0.45,1,1,23,44
0.22,0.2576,0.93,1,3,7,4
0.3,0.3333,0.7,1,1,6,92
0.46,0.4545,0.67,4,1,11,152
0.32,0.303,0.53,4,1,2,12
0.38,0.3939,0.87,4,2,8,592
0.24,0.2273,0.7,1,1,8,513
0.36,0.3485,0.71,4,1,3,7
0.84,0.7576,0.44,3,1,18,562
0.22,0.2424,0.47,4,2,6,11
0.82,0.7879,0.56,2,1,10,109
0.42,0.4242,0.41,2,1,15,408
0.64,0.5758,0.89,3,3,16,24
0.7,0.6667,0.79,2,1,1,77
0.4,0.4091,0.43,1,1,13,384
0.66,0.6061,0.83,3,1,4,12
0.14,0.1212,0.46,1,1,20,38
0.24,0.2879,0.81,1,1,0,16
0.6,0.5455,0.88,3,3,3,25
0.3,0.303,0.81,1,2,10,108
0.62,0.5455,0.94,4,2,1,19
0.34,0.3333,0.42,4,1,13,214
0.74,0.6667,0.45,3,1,14,433
0.56,0.5303,0.56,2,1,1,95
0.34,0.2879,0.46,1,1,5,29
0.48,0.4697,0.77,4,1,9,241
0.44,0.4394,0.44,2,1,23,67
0.62,0.5455,0.94,4,3,0,52
0.3,0.2727,0.39,1,1,13,135
0.62,0.5909,0.73,2,2,4,6
0.24,0.2121,0.6,1,1,19,117
0.36,0.3485,0.87,4,2,0,21
0.7,0.6515,0.54,3,1,7,336
0.6,0.5152,0.94,4,3,6,114
0.8,0.697,0.35,3,1,17,864
0.66,0.6212,0.61,2,1,9,197
0.12,0.1515,0.5,1,1,5,8
0.68,0.6364,0.79,3,2,21,149
0.52,0.5,0.77,3,1,4,6
0.16,0.1667,0.8,1,3,22,46
0.46,0.4545,0.82,2,2,0,117
0.7,0.6667,0.74,3,1,7,421
0.76,0.7273,0.7,2,2,8,432
0.22,0.2727,0.44,4,1,3,8
0.72,0.697,0.74,2,1,22,185
0.66,0.6212,0.57,3,2,22,179
0.64,0.6212,0.5,2,1,2,89
0.56,0.5303,0.83,3,1,5,24
0.94,0.8788,0.38,3,1,13,337
0.74,0.6667,0.51,3,1,19,413
0.56,0.5303,0.73,3,1,0,57
0.36,0.3485,0.4,1,2,2,80
0.3,0.3182,0.61,1,3,15,54
0.78,0.7576,0.66,3,2,20,389
0.64,0.5606,0.94,3,3,0,16
0.14,0.1364,0.74,1,1,5,9
0.64,0.6212,0.41,2,1,21,218
0.8,0.803,0.66,3,1,17,513
0.74,0.6515,0.33,4,1,16,532
0.6,0.5758,0.78,2,2,10,200
0.26,0.303,0.52,1,2,3,3
0.72,0.6818,0.66,2,1,9,182
0.16,0.2273,0.55,1,2,7,99
0.7,0.6515,0.65,3,1,22,188
0.66,0.6212,0.36,2,2,17,576
0.24,0.2576,0.75,1,1,5,10
0.22,0.197,1.0,1,2,22,10
0.74,0.7121,0.74,3,1,21,241
0.26,0.2576,0.56,1,1,4,1
0.3,0.2727,0.49,2,1,8,508
0.1,0.1061,0.36,1,1,21,25
0.58,0.5455,0.53,4,2,22,220
0.74,0.6818,0.62,3,1,0,191
0.6,0.5455,0.88,3,1,7,52
0.66,0.6212,0.65,3,1,7,308
0.26,0.2576,0.75,1,1,3,1
0.74,0.697,0.66,3,1,16,285
0.32,0.3333,0.36,1,1,14,79
0.72,0.7121,0.84,2,2,6,118
0.74,0.6818,0.58,2,2,22,153
0.24,0.2879,0.7,1,1,7,41
0.62,0.6061,0.61,2,1,1,28
0.3,0.2879,0.53,1,2,15,130
0.44,0.4394,0.94,2,1,7,237
0.74,0.697,0.7,3,1,20,385
0.36,0.3485,0.93,4,2,6,108
0.76,0.7424,0.75,3,2,1,12
0.62,0.6212,0.38,2,1,17,598
0.84,0.7273,0.3,3,1,17,349
0.42,0.4242,0.94,1,2,5,24
0.62,0.6061,0.61,4,1,17,438
0.36,0.3788,0.71,4,2,6,94
0.68,0.6364,0.65,3,3,21,217
0.14,0.1515,0.69,1,1,22,20
0.64,0.2424,0.73,3,1,7,379
0.24,0.2424,0.75,1,1,5,11
0.66,0.6061,0.83,3,1,19,270
0.68,0.6364,0.61,2,1,16,273
0.4,0.4091,0.66,4,1,11,226
0.78,0.7576,0.66,3,1,17,572
0.48,0.4697,0.55,4,1,9,355
0.52,0.5,0.68,4,1,12,312
0.7,0.6364,0.34,2,1,15,644
0.56,0.5303,0.49,2,1,10,298
0.26,0.2727,0.56,1,2,12,130
0.42,0.4242,1.0,1,3,7,5
0.8,0.7121,0.41,3,1,8,585
0.44,0.4394,0.67,4,1,4,8
0.5,0.4848,0.29,2,1,13,224
0.4,0.4091,0.82,4,1,5,13
0.36,0.3333,0.43,1,1,16,97
0.78,0.6818,0.31,3,1,14,163
0.52,0.5,0.88,4,2,4,5
0.8,0.7424,0.49,3,1,22,234
0.8,0.8333,0.75,3,1,20,309
0.46,0.4545,0.47,2,1,12,121
0.7,0.6667,0.79,3,1,8,92
0.38,0.3939,0.87,4,1,21,113
0.22,0.2121,0.69,1,2,6,36
0.5,0.4848,0.51,2,1,14,107
0.44,0.4394,0.77,2,2,5,20
0.74,0.6667,0.42,3,1,16,309
0.52,0.5,0.83,4,1,7,297
0.36,0.3788,0.76,4,1,19,44
0.74,0.697,0.66,3,1,8,392
0.86,0.7879,0.41,3,1,20,206
0.32,0.3182,0.66,1,2,5,4
0.26,0.2727,0.48,1,1,1,15
0.52,0.5,0.36,2,1,20,141
0.24,0.2424,0.6,1,1,16,107
0.58,0.5455,0.64,2,1,16,302
0.68,0.6364,0.65,3,1,18,339
0.52,0.5,0.45,4,1,13,328
0.38,0.3939,0.62,1,3,16,71
0.8,0.803,0.66,3,1,21,242
0.5,0.4848,0.63,4,2,12,304
0.84,0.7727,0.47,3,1,13,254
0.3,0.2879,0.7,2,2,15,90
0.14,0.1515,0.5,1,1,2,3
0.7,0.6667,0.74,3,2,22,135
0.5,0.4848,0.25,2,1,10,299
0.34,0.3485,0.87,4,1,0,18
0.62,0.5606,0.88,3,2,6,23
0.44,0.4394,0.16,1,1,13,155
0.28,0.2727,0.48,4,1,20,137
0.4,0.4091,0.4,4,1,13,154
0.84,0.803,0.53,3,1,11,243
0.58,0.5455,0.64,2,3,13,183
0.86,0.7879,0.41,3,1,12,494
0.28,0.2727,0.48,4,1,16,234
0.52,0.5,1.0,2,2,4,5
0.36,0.3485,0.93,1,3,8,73
0.22,0.197,0.55,1,2,7,44
0.74,0.6667,0.51,2,2,13,363
0.26,0.2879,0.56,1,1,3,5
0.2,0.2121,0.51,1,1,5,26
0.64,0.6212,0.61,3,1,10,212
0.64,0.6212,0.47,2,1,17,259
0.3,0.2879,0.87,4,3,16,98
0.66,0.6212,0.47,3,1,11,138
0.32,0.303,0.93,2,3,17,69
0.74,0.6818,0.55,2,1,17,341
0.62,0.5152,1.0,3,2,9,69
0.32,0.3182,0.49,4,1,18,537
0.72,0.6667,0.58,2,2,9,217
0.82,0.803,0.59,3,1,21,154
0.5,0.4848,0.51,4,1,21,256
0.5,0.4848,0.88,2,2,9,233
0.62,0.5758,0.83,2,2,22,159
0.62,0.5909,0.78,4,1,20,238
0.7,0.6515,0.51,3,1,14,265
0.48,0.4697,0.88,4,3,5,15
0.24,0.2576,0.65,4,1,2,2
0.7,0.6667,0.79,3,2,10,205
0.52,0.5,0.94,2,2,8,557
0.3,0.2879,0.61,4,2,5,37
0.66,0.6212,0.44,2,1,3,4
0.32,0.303,0.61,1,1,3,4
0.54,0.5152,1.0,3,1,0,27
0.16,0.197,0.93,1,2,22,58
0.82,0.7727,0.52,3,1,11,451
0.66,0.6212,0.69,3,1,2,6
0.54,0.5152,0.68,2,2,5,16
0.76,0.7273,0.66,3,1,21,328
0.22,0.2121,0.37,2,1,5,8
0.74,0.6818,0.58,2,1,8,452
0.34,0.303,0.49,4,1,0,55
0.8,0.7424,0.52,3,1,15,306
0.7,0.6515,0.61,2,1,17,548
0.7,0.6667,0.84,3,1,8,632
0.32,0.303,0.49,1,1,18,153
0.46,0.4545,0.88,4,3,22,40
0.64,0.5909,0.78,3,1,4,7
0.66,0.5909,0.94,3,3,9,123
0.36,0.3333,0.87,2,3,21,11
0.58,0.5455,0.83,4,3,7,260
0.44,0.4394,0.94,2,1,22,57
0.66,0.6061,0.83,3,2,10,175
0.46,0.4545,0.55,2,2,11,122
0.22,0.2576,0.93,1,2,6,32
0.36,0.3636,0.87,4,2,11,123
0.52,0.5,0.48,4,1,11,166
0.4,0.4091,0.37,2,1,11,291
0.26,0.2121,0.44,1,1,18,82
0.46,0.4545,0.55,4,1,12,189
0.82,0.7727,0.52,3,1,16,457
0.3,0.2879,0.49,4,2,8,648
0.32,0.303,0.21,2,1,18,241
0.3,0.2727,1.0,2,3,4,3
0.56,0.5303,0.94,2,1,2,13
0.44,0.4394,0.88,4,3,1,5
0.6,0.5758,0.78,2,2,4,10
0.34,0.303,0.57,2,1,21,165
0.82,0.7121,0.3,2,1,12,502
0.6,0.6061,0.6,4,1,9,384
0.16,0.1515,0.86,1,2,16,76
0.36,0.3485,0.5,1,1,20,212
0.56,0.5303,0.43,2,1,10,452
0.82,0.7727,0.52,2,1,17,517
0.36,0.3636,0.87,1,3,21,101
0.74,0.7121,0.79,3,2,7,254
0.16,0.1515,0.74,1,2,7,13
0.46,0.4545,0.51,2,1,1,46
0.36,0.3485,0.93,1,3,2,2
0.34,0.3182,0.87,1,3,23,9
0.54,0.5152,0.68,2,1,7,78
0.4,0.4091,0.66,4,1,19,238
0.7,0.6515,0.61,2,1,18,538
0.56,0.5303,0.83,2,1,21,223
0.68,0.6364,0.79,2,1,10,437
0.72,0.6667,0.54,3,2,10,150
0.68,0.6364,0.47,4,1,14,500
0.14,0.1212,0.36,1,1,19,30
0.36,0.3333,0.5,1,1,19,251
0.62,0.5758,0.83,4,3,23,45
